Fecha_Captura,Hora_Captura,ID_Canal,Nombre_Canal,Caudal_Flow,Fecha_Reportada,Hora_Reportada
2026-08-17,19:09:30,1,RÍO MAIPO,57300,17/08/2026,14:00
2026-08-17,19:09:30,3,REGADOR SCM,11.94,17/08/2026,14:00
2026-08-17,19:09:30,50,BT CANAL SAN CARLOS REGANTES,0.0000,17/08/2026,15:00
2026-08-17,19:09:30,20,CANAL EYZAGUIRRE,4800.03,17/08/2026,14:00
2026-08-17,19:09:30,41,CANAL FLORIDA,15200,17/08/2026,14:00
2026-08-17,19:09:30,35,CANAL LAS PERDICES,2000,17/08/2026,14:00
2026-08-17,19:09:30,37,BT CANAL EL CARMEN,0,17/08/2026,14:00
2026-08-17,19:09:30,38,BT CANAL LA PUNTA,0,17/08/2026,14:00
2026-08-17,19:09:30,39,CANAL LA PÓLVORA,0,17/08/2026,14:00
2026-08-17,20:59:18,1,RÍO MAIPO,57500,17/08/2026,16:00
2026-08-17,20:59:18,3,REGADOR SCM,11.98,17/08/2026,16:00
2026-08-17,20:59:18,50,BT CANAL SAN CARLOS REGANTES,27993.1900,17/08/2026,16:00
2026-08-17,20:59:18,20,CANAL EYZAGUIRRE,4816.43,17/08/2026,16:00
2026-08-17,20:59:18,41,CANAL FLORIDA,14900,17/08/2026,16:00
2026-08-17,20:59:18,35,CANAL LAS PERDICES,2000,17/08/2026,16:00
2026-08-17,20:59:18,37,BT CANAL EL CARMEN,0,17/08/2026,16:00
2026-08-17,20:59:18,38,BT CANAL LA PUNTA,0,17/08/2026,16:00
2026-08-17,20:59:18,39,CANAL LA PÓLVORA,0,17/08/2026,16:00
